sentense,lable
나는 존나 재밌던데 나만 그럼 뭐지 ,1
눈치있는 사람은 이 영화 한달안에 iptv 가즈아 인거 알것이다 ,0
비추천 부산행 감독 믿고봤는데 예상밖으로 정말 초반에 잠깐 웃기다가바로 재미가없어질정도로스토리도없고 뭣도 없습니다비추천 비추천 비추천 ㅂㅊㅊ ,0
멍청이들아 포스터만 봐도 재미없겠다ㅋ 쪽발이들 영화계가 왜 망한 줄 앎 이딴 영화들이 주구장창 나오기 때문이다 이거 찍은 배우들도 앞으로 걸러라 작품 고르는 눈깔수준 ㅋ ,0
1점 주기도 아깝네요 ,0
왜 홍보를 세게 해댔는지 보고나니까 알겠더라 ,0
클레멘타인을 극장에서 못본게 제 인생의 한이였는데 염력을 보고 그 한이 풀렸습니다 ,1
관람객이걸 돈주고 봤다는게 얼척이 없다 진심 ,0
영화 안봤는데 댓글보다 보니까 욕나오네요 ,0
어이가 없어서 실소가 나오더라 ,0
각본 연출 연기 모두 최악 ,0
관람객이런 상상을 했을줄이야 ㅎㅎ ,1
코미디영화라 웃다가 나올줄 알았는데 한마디로 웃프던데요 많이 울다가 나왔어요 ,1
4dx로보고왔는데 이거 4dx는 왜만들었어여 전혀상관없는움직임 정유미만기억에남네여ㅋㅋ ,0
내가 대체 뭘본거지 ,0
정유미 앞으론 이런 역할 하지마시길 정말 안어울리고 연기도 어색하고 연기 못하는 것 처럼 보임 ,0
예고편에 나오는 초능력영상이다였어요ㅜㅜ 유치해서 웃음이났어요 후기가 별로여서 볼까말까했는데 이병헌 나오는거 볼껄했어요 우뢰매 에스퍼맨인줄ㅋㅋㅋ ,0
요약 cgv팝콘 맛있다 ,1
사람들의 평이 너무 안좋아서 개봉 당시 기대를 많이 걸었던 이 영화를 안 본 내가 바보다 사람들은 물타기하면서 영화 하나 망치기 참 쉽다 귀엽고 재밌었어요 추천합니다 ,1
좀 뜨더니 거만떠는 양아치새기 쌤통이네 ㅋㅋㅋ쫄딱 망하길 ,0
1 000 000 000점만점에 1점입니다 ,0
관람객0점도 할 수 있게 만들어 주시죠 ,0
우뢰매보다 못한영화 예고편보소 핸콕 생각났는데 cg실력이 딸려서 연기만 자욱히 배경으로 넣고 끝 ,0
관람객그냥 그래요 시간이 남는다면 보시고요 ,0
헐리우드 히어로물을 생각한다면 보질마라 블랙 코미디 영화다 좀 알고보자 웃으며 잼있게 봤다 나는 ,1
한국의 슈퍼맨 뭘까 내용이 없음 너무 재미없다는 ,0
정유미가 이렇게 연기를 못하는줄 몰랐음 ,0
신은경인가 연기학원에좀 다녀야겠드라 ㅡㅡ 정유미도 그렇고 남주도 다 별루엿음 갠적으로 신과함께도 그냥 볼만하다 수준이였는데 신과함께랑 둘이놓고 비교함 신과함께는 겁나재밌는거임  ^정,0
관람객5천원짜리 은행가서 동전으로 바꿔서 던지면서 노세요 ,0
초능력을 가진 소시민도 돈과 권력을 가진 자는 이길 수 없다는 것은 씁쓸했지만 그게 현실인걸 저는 재밌게 잘 봤습니다 왜이렇게 악플이 많은지 직접 보고 판단 하기를 ,1
관람객볼만한 영화였습니다 가족들과 보세요 ,1
솔직히 이렇게 악평할 정도는 절대 아닌데 그냥 분위기 타는 악플이 많은듯 신과함께보다는 훨씬 개연성 있었음 10점까지는 아니지만 평준화를 위해 좀 더 준다 ,1
4d보는데 코고는분들이많아서 재미가배가되었네요 사운드점수 10점드립니다 ,1
너무 혹평이라 마음의 준비를 하고갔는데 그정도는 아니었다 그냥 볼만했음 ,1
실제로 정유미랑 같이 영화관에서 이영화 보자고해도 안볼듯 ,0
관람객그리 나쁘지도 않은데 혹평이 많군요 쩝 나름 재밌게 봤습니다 ,1
관람객영화 장르가 코미디 판타지 임에도 우리가 흔히 뉴스에서 보는 소재를 잘 버무려서 영화 끝까지 흐트러지지 않고관람할 수 있었다 ,1
왜이렇게 평점이 낮은지 모르겠어요가족들이랑 볼만한 영화였어요 ,1
흥미진진 재밌었어요 two thumbs up ,1
관람객연상호 이정도면 부산행이 뽀록은 아니엇다 유치할수잇는 소재와 이야기를 잘 그려냈다 ,1
공짜라 봤는데 에라이 쯧쯧 한심하네 이딴걸 영화라고 개짜증 ,0
쓰레기 3류 정치영화 웃으려 갔다가 화가 치미는 영화 ,0
이걸 볼 시간에 차라리 유투브에서 아무 영상이나 보는게 훨씬 재밌습니다 ,0
배우들 연기 개쩔고 유쾌하고 소소한 감동 그 와중에 너무 이쁜 정유미 평점테러 마녀사냥수준 재밌었어요 ,1
그냥 볼만하던데 다들 보는눈이 다를텐데 왜그리 보지말라고 말리는지 전 별5개중에 3개 ,1
좀 유치하지만 개그코드가 좋았다 류승룡 중년경비아저씨역 완전 어울림 ,1
글쎄 난 재미있게봤는데 울나라 기술도많이늘었고 특히 정유미씨연기짱 ,1
난 재미있는데 나만 이상한가 ,1
나는 재밌었다 감독님 기죽지 말고 힘내세요 ,1
재밌던데 아새끼들이 재미없다고 하네 ,1
같은시대에 용산참사를 지켜봤던 서울 시민으로서 당시 답답했던 마음을 대변하는것 같아 재미게봤어요 ㅠ ㅠ 진실이 밝혀지길 소망합니다 ,1
용산참사 경찰물대포사건 일만 터지면 북한드립 ,1
글쎄 저는 워낙 평점안좋아서 기대를 안하고 온라인에서 봤더니 기대 이상으로 웃기고 재밌더라구요ㅎㅎㅎ 은근 부성애코드에 감동도 있어서 재밌게 봤습니다 그냥 동심을 가지고 보시면 꿀잼이에요 ,1
나름재밌는데 어떤영활보고싶은지 그배우배우 다매력있고 ,1
알바 테러네 평점이 너무한대 ,1
안보고 댓글단 사람이 더 많아 보이는듯 ,1
그냥 저냥 괜찮은데 분위기가 영 안좋네 ,1
10점만점에 10점 ㅎ ,1
관람객염력에 당해버렸다 ㅜㅜ 아프다 ,0
염력은 개뿔 염병떨고있네 ,0
진짜 어떻게 이렇게 휴 ,0
내가 이딴거에 돈을써서 보다니 힘들게 번돈을 차라리 도박을할걸 1점도 아깝다 ,0
정유미가 예뻐서 2점 드립니다 ,0
돈보다 시간이 아까운건 처음이었다 이 쓰레기 영화야 ,0
기업을 악으로 규정하고 공권력을 막장으로 끌고 가지 않고서는 스토리를 전개할 수 없었던 것인지 오히려 여기에 스토리를 억지로 끼어넣어서 완성도는 더 낮게 느껴짐 정녕 영화의 의도가 사회가 부정하다는 건지 사회를 부정하자는 건지 구분이 안 감 ,0
관람객기대를 많이하고 봤는데 실망을 안겨준 영화ㅠㅠ ,0
쓰레기 여ㅇㅎㅘ 이 ㅁ ,0
이 영화보고 저도 염증이 생겼어요 ,0
 싫어 내끄야 여기가 제일 잼있음 ,0
ㅋㅋㅋ댓글 수준바라 개웃기넼ㅋㅋㅋㅋ ,0
 하하하 정말잼잏ㅆ어요 태어나서 이런꿀잼영화를보다니 정말 감동 ,0
때와 장소에 어울리는 옷이 있는 법이다 평점은 5 10 ,0
관람객aㅏ 기대가 컸나 ,0
ㅎㅏ 돈도 돈이지만 시간이 아깝다그냥 보면 안다무슨 뜻인지 ,0
일본 영화같더라 ,0
평점이 이해가 되네요 평점을 먼저 보고 영화를 볼껄 그랬어요 ,0
하이고 이걸영화라고 ,0
얼마나 재미없기에 인디시어스4에도 발리냐 ,0
평점과 평판을 보니 딱 100만 관객 ,0
류승룡이라는 배우가 아깝네요 어떻게 이런 만화영화에 명배우가 안타깝네요 ,0
말이 필요없습니다 꼭 보십쇼ㅋㅋㅋ ,0
사실 주인공의 염력은 염병을 부르는 힘이라 염력이었던거임 ,0
류승룡 기모찌라서 1점 ,0
어쩌다가 이지경에 왔는지심각합니다 ,0
누가먼저 영화관을 탈출하느냐옆사람과 나의 눈치싸움이 시작된다 ,0
영화보다 평점이 더 재밋네요 ,0
윤가람이 누군데 내 아이디 해킹해서 평점 10점 줬냐 ,0
리얼 7광구가 떠올랐다면 너무 비약적인걸까jquery22407693822392957119_1517677859934 같이 보러간 여친에게 미안해서 고개를 못 들겠더라 ,0
주연 배우의 인간성이 ㅆㄹㄱ 정말 정말 ㅆㄹㄱ 이다보니 무슨 말인지 모르는 분들은 라디오스타 참조하시길 대한민국의 관객들이 등을 돌린 배우에게 좋은 시나리오가 갈리 만무하겠죠 대한민국에 좋은 배우는 많으니까 ,0
돈이 남아도시면 보시구요 진짜 류승룡 연기도 실망했고 심은경은 말할것도 없네요 그나마 그 민사장이랑 정유미가 나은것 같습니다 딱 초딩수준 영화인것 같구요 웬만하면 보지 마세요 ,0
11점 주고싶은 내 마음이다 ,0
아 진짜 어거지로 만든 정치소재인가 ,0
넘 티나는 cg 진짜 부산행 감독이 맞나요 ,0
정유미 뻑 이 좀 살렸다 ,0
그냥 하던거 하세요 괜히 웃긴거 찍으려 하지 마시고 ,0
재미있는 소재인데 아쉬움이 큽니다 대사와 연출의 빈곳을 음악으로 채우려고 하신 건 아닌가 하는 느낌이 조금 재미있는 부분은 티비 광고에서 너무다봐서 더 아쉬움 재미있는 소재였는데 ,0
실망 ㅋㅋ시간이 아까워 ㅎ ,0
성지순례 왔어요 ㅎㅎ ,0
최후반부에 류승룡 조용히 날아가는 부분에서 관객들이 단체로 실소를 내뱉는건 모두가 같은 생각이라는 증거죠 ,0
0점 없냐 0점 줄수있게 해주라 쫌 ,0
그것만이 내세상 보러가세요 차라리 ,0
아무것도 없는 사막에서 웃음을 쥐어짜내니 웃음도 시원찮고 가끔있어야 할 오아시스조차 없는영화 독립영화라 스케일이였다면 더 재밌었겠다 ,0
몸비꼬면서 문닫는 씬 보고 웃었으니까 2점 준다 핵노잼 ,0
솔직히 예고편부터 알아봄 ,0
유미 빼고 연기력 실화인지 ,0
극장몰빵에 이정도로 밀어줬는데 이런 졸작만들기가 더어려울듯 ,0
재미면재미 감동이면감동 하나도없고 나만당할순없지 ,0
부산행은 얻어걸린 영화라고 봐야할까 경험의 부족에서 오는 디렉션의 문제일까 조악한 스토리구성과 개연성 어설픈 cg 처음 생각은 이게 아니었을텐데 만들면서 그 한계 때문에 졸작이 되어버린 영화다 나중에 vod로 보는 것이 현명할 것 같다 ,0
태어나서 본 영화중 제일 최악 ,0
그지같다 지루하고 불쾌함 ,0
별 하나 주려다 한개 더 줍니다혼영 하는데 고민하다 배우보고 골랐는데왜이러나요ㅋㅋ ,0
아 인시디어스 볼걸 ,0
2주 넘게 기다렸는데 ,0
음 아 휴 __ ,0
관람객중학생 딸은 재미있다는데 내용이 황당함 내도 염력이 생겼으면 ,0
댓글대박 ㅋㅋ도대체 뭔영화길래 ㅋㅋ궁굼해서 봐야겠닼 리얼도 고민했었는뎈 ,1
유미누나 진짜미안해요 너무너무 열받지만 누나얼굴보고참았어요 ,0
내 인생 최악의 영화 실소가 계속 터지는 영화 ,0
진짜 노잼 영화 보지마세요 ,0
이게 고짜로 누가 보여준대도 절대 보지말라던 그 영화 ,0
경찰인데 개뿔말도안되 ,0
미쳤냐 미쳤냐 미쳤냐 ,0
류승룡 배우님 고생하셨습니다 ㅎ ,0
돈으로 똥 닦는게 이득이에요 ,0
웃겨서 웃는게아니라 어이 없어서 웃게되는 영화 ,0
관계자들알바풀었나 별5개jquery22405659398201565655_1517459443783 잘봤다고 진짜 역대최악중에최악이였다 진심으로 ,0
웃음 폭발하는 영화 ㅋㅋㅋ ,1
한국 영화의 다양성에 앞장서는 연상호 감독님  ^^,1
배신 당한 기분은 어쩔 수가 없다 ,0
뭘 말하고자 하는지는 알겠는데 조악하고 얼기설기함 부산행의 연상호 감독은 어디로 갔죠 ,0
스파게티 먹으러갔다가 캐찹에 라면만 비벼서 나왔다 ,0
오우 너무너무재미 있을까 없을까 너네도다봐야대 ,0
하 진짜진짜 없는시간 쪼개서 보러간건데 ㅠ열받아서 잠도 안옴 ,0
한국형 초자연적인 매그니토 탄생의 일대기를 그린 영화 입니다 ,0
나도 나만 당할수없지 ㅋ 엄청 재미있음 연기력도쩔고 cg도 대박이고 내용도 최고임 얼른들보세요 ㅋㅋ ,0
문화의날 5000원주고 관람한 내돈과 시간이 아깝다 부산행감독 예고편에서 빼라 낚였다 좀비 영화나 만들지 이도저도 아니고 염력 생겼는데 그좋은 제주로 철거민을 왜 돕냐 휴머니즘영화냐 코믹 맞냐 사람 빡치게하는 영화 처음이다 ,0
류승룡의 저주가 ,1
그냥 딱b급 코메디 암생각없이 보면 볼만함 ,1
애니메이션 극장판 보는 느낌이에요 하하 순수해지네요 ,0
조금 어이없음 판타지에 어두운 현실을 넣은 느낌 ,1
초딩들 딱좋아하더라 깔깔 자지러지던데 아 나평점첨써본다 이건아닌거같은데 ,0
감독이 만들다가 버린영화 문화의 날이라 5천원 주고봤지만 진짜 욕나온다 초등학생 데려다가 시나리오 하나 써보라해도 이보다 그럴싸한 영화 시나리오를 쓸 수 있을거 같다 영화를 b급으로 만들거면 확실히 재미있게 하든가 너무 어색한 연기와 노잼 몸개그 ,0
이게 팩트다 ,0
이 영화를 보고 초능력이 생겼습니다 ,0
기대를 너무 한건가요 이건 아닌듯 ,0
5천원 주고봐서 다행입니다 ㅋㅋ ,0
보는 동안 럭키짱이 생각낫다 ,0
크게 기대한것도 아니었는데 내용도 연출도 너무 황당하고 어이 없었어요 화면 꺼지자마자 관람객들 동시에 탄식 모두 같은 마음일거라 생각합니다 ,0
진심 아라한장풍대작전이 훨 신 잼있습니다 ,0
어이가없어 웃음나는 영화네요 어허허허 허탈함에 2점드려요 ,0
염력 아니죠 염병 맞습니다 ,0
초딩수준 지루함 초딩인 아들딸은 재밌다고하니 별두개 ,0
솔직하게 말해서 궁금한 사람은 보세요 저도 우리나라에 이런 영화가 있을줄이야 하고 봤는데 보고 난 뒤 느낌이 에휴 뭐 이런느낌이라고 보시면 됩니다 ㅎ ,0
글 쓰기도 아깝다ㅋㅋㅋㅋ ,0
이게뭐냐 돈을 왜 낭비하면서 영화를 만둘지 ,0
드라마 시티보다 허접한 연출 ,1
이영화를 보고 나도 영화감독이 될수있겟구나 생각햇다 시나리오를 하 동화책인줄 ,0
감독이 부산행만들고 방전됐나봅니다 뻔한이야기를 더욱 뻔하게 기대없이봤는데 기대이하네요 ,0
진짜 승질납니다 5천원주고봐서 다행이지 9천원줬으면 콜라 엎을뻔 아이언맨 헐크의 합작이라고 해도 과언이 아닙니다 꼭 보세요 꼭 ,0
안본눈 삽니다 ㅠㅠ ,0
영화보면서 유체이탈을 경험햇습니다 ,1
뭔 알바들이 이리도 많은건지 초중딩용 영화라 생각하면 됨 다행히도 난 공짜로 봤으니 욕은 안하련다 돈 주고 보지는 마시길 내 40인생 최악의 영화중 top ten에 업로드 ,0
허허허허 지금 보고왔는데 허탈하네요 ,0
리얼보다는 나은데 망작이다 크로니클 따라하던가 ,0
이것은 절대 1점이 아니다 11점을 주고 싶은 내마음이다 ,0
다음부터 분발 하세요 ,0
하 ㄴ답 ㄹㅇ노답 ,0
마지막에 류승룡씨 안개속 으로 날아갈때 cg 너무 조잡해서 슬픈장면인데 다들 빵 터지게 웃더라구요 ,1
기대한거와는 다른 ,1
나는 심은경 싸울때 왜 이렇게 매력있게 보이는지 심은경 좋아  ^^,1
나 이거 개봉 할 때 나름 재밌게 보긴 했는데 ㅋㅋㅋㅋ 첫번째 배댓 엄청 웃기네 하하하 ,1
재밌기만 하구만 ㅋㅋㅋ ,1
난 그렇게 재미없진 않던데 시나리오가 좀 촘촘하지않긴했지만 유머코드도 괜찮고 대진운이 안좋았던듯 ,1
머 이 정도면 중간이상한거 같은뎅 왜 점수가 이리 짠가요 ㅎㅎ ,1
나름 볼만한데 왜그러지 ㅋ ,1
관람객나름 재미있게 본 영화 재미 포인트도 있고 내용 좋았음 ,1
조금 어설퍼도 재미는 있었음ㅋ ,1
넷플릭스로 봤다 리얼 클레멘타인 들먹일 정도는 아니다 그냥 저냥 볼만했다 ,1
난 너무 재미있게 봤는데 ㅋㅋ 떴니 ㅋㅋㅋ ,1
생각보다 볼만하다 8 5는 된다 그런데너무 한쪽편만 든다 ,1
이걸 재미있다고 하는 사람과는 멀리하고 친구라면 절교해라 ,0
피식 피식 웃겼음 저는 대충 볼만 했는데 ,1
평들보다 훨씬 재밌습니다 ,1
한국판 아이언맨임 꼭 보셈 꼭 ,1
염력 재미있네요 웃으면서 즐겁게 잘 봤습니다 ,1
너무 기대를 안했나봐요 뭔가 모자른 듯 하지만 대부분의 영화가 그렇지 않나요 생각보다 재밌게 봤네요 ,1
너무 기대안하고 봐서그런가 난 상당히 재밌게봤다 우리나라에서 이런히어로물 시도조차없었는데 그런의미에서 8점주고싶다 ,1
난 왜 재밋엇지 ,1
개봉일 근처영화가 뭐였는지 보면 평점테러 어떤인간들이 했는지 답 나옴 ,1
재밌는데 평점 8점은 되야 될거 같은데 ,1
이 영화는 코메디 영화다 이 영화를 보는 내내 웃음이 끊이지 않았다 그렇지만 단순한 코메디는 아니다 용산 참사를 기억하는 사람들이라면 이 영화를 보면서 통쾌한 대리 만족을 느꼈을 것이다 이 영화는 그래도 코메디 영화다 ,1
내 인생 최고의 걸작 입니다 아 물론 안 봤지만요 ,1
안봣지만 나도1점준다 ,0
우리나라는 cg공부 더하길 ,0
관람객그냥그래요그냥그래요 ,0
하나도 아깝다 관객을 우롱한 영화 ,0
불법철거민들을 마치 합법처럼 그려놓은 영화 재미도 감동도 정말 재미없었다 ,0
부산행 2부나 만드시지 ,0
그래도 집에서 바도 안될까요 ,0
ㅋㅋㅋ아 걍 웃음밖에 욕도 안 나옴 ㅋㅋㅋ ,0
염력으로 닭튀길 기세 ㅅㅂ ,0
관람객뭘 말해주고자했던걸까 ,0
리얼 정도는 아니고 그냥 영화가 너무 재미없어요 ,0
관람객아이고 대배우들로 이런 영화를 찍다니 ,0
정말 기대되고 궁금합니다 얼마나 재미없는지 ,0
그저 그런 b급영화인데 영화관 독점먹어서 역풍부는 느낌이다 걍 1 2개 정도 먹었으면 이런 반응은 없었을듯 ,0
유치 짬뽕 정말 유치 소재가 참신한데 이정도로 빈약하게 만들어놓는것도 능력 ,0
넘 재미가ㅠㅠㅠ없어요 ,0
원래 평론가는 관객하고 반대로 가야 뭔가 든거 같음 ㅎㅎ ,1
눈물나는 씨지 설정과 전개가 따로 노는 느낌 ,0
1점도 아깝다 영화냐 ㅡㅡ ,0
문화의 날에 봤는데도 돈 너무 아깝다 참 의미없는 영화 ,0
2천원도 아깝다 ㅋㅋ 이게무슨 영화냐jquery22406083653081897602_1518073753258 ,0
염력으로 문닫을때 난 뚜껑열렷다 ,0
좋은 소재를 답답하게 만들어 버렸어요 ㅠㅠ ,0
와ㅋ놀랍다 박수를 보냅니다 ,0
진짜 영화 중간에 욕하는사람도 있었고 단체로 나가는사람들도 많았음 ㅋㅋㅋ 물론나도 중간에 졸았지만 ,0
염력 류승룡 부산행감독 정유미만 기대하고갔다가 시간날림 노잼 관람객들의 평점이 정확하다 ,0
포스가 함께하기를 ,0
관람객기대하고 봤는데 아오참 ,0
안피던 담배를 피우게되었습니다 ,0
오랜만에숙면이란걸해봤어요 ,0
이야 몇년만에 로그인해서 평점달게 만드네 관람전에 봤던 염력이 아니라 염병이라는 댓글을 보고간 덕분에 기분이 그나마 덜나빳음 개봉예정일때 했던 기대 그대로 유지하고 보러갔으면 쌍욕했을듯 2018 최대 망작 확정 ,0
믿고 거르는 유승용영화 계속 망하는중 ㅋㅋ ,0
영화보다 여기 댓글이 더 잼난거 같음 아직안봤는데 안봐야 겠다 ,0
관람객당최 무슨 이야기인지 기승전결이 모호 ,0
이거 볼빠에 워낭소리보면 한숨 주무세요 ,0
제발 보세요 저만 억울하지 않게요 ,0
포인트 쓴거 아깝다 돌려내 ,0
내인생에서 극장에서 영화안보고 평점쓰기는 첨이네 ㅋㅋ 우뢰매 성인버젼 한마디로 쓰레기영화 ,0
진짜 한숨만 나오고 제가 살면서 이런영화는 최악이네요 뭐 하나 나은게 눈곱만큼도 없어요 집에 가고 싶은 생각만 들었어요 ,0
오늘 보면서 영화관에 있는 제가 다 창피하던지요 ㅜㅜ어떠한 뜻을 주려는 그런 의도는 알겠는데 관객 입장에서 돈내고 이런 영화 보는게 과연 만족스러울지 생각좀 하셨으면 좋겠네요 ,0
개인적으로 진짜 영화초반부터 끝날때까지 너무하단 생각이 드는 영화 영화 어지간하면 재미없다 안하는대 이건 그나마 다행인건 cgv 1 1 선착순 한걸로 봐서 아 그것도 아까운 ,0
영화를 보면서 눈물을 흘려본게 처음입니다 왜케졸리고 따분한지 그리고 결정적인것은 영화비가 왜케 아까운지 아까운 머니 ,0
영화 장르가 도대체 뭐에요 부녀지간 사이 좋아지는 감동스토리도 아닌 것 같고 코미디도 아닌 것 같고 뭘 보여주고 싶었던건지 모르겠음 시간때우기용 영화가 필요해도 이건 보지 마세요 ,0
왜 0점은 없는가 b급도 못되는 영화 ,0
노어이 개어이 10어이 ,0
살면서 이런 영화 처음 봅니다 영화 끝나고 기억에 남는 장면은 딱하나 라이타 잡는장면 기억속에서 지워지지가 않네요 진짜 영화 평점남기는거 처음입니다 ,0
영화 염력 염려스럽다 ㅜㅜ ,0
마아아이아아 장난치나 ,0
와 리얼 로다가 재밌네 ,0
어우 솔직히 무리수 자나 ,0
쓰레기 같은 영화 퉤퉤퉤 ,0
헤헤헷 좀 싫다 이건좀 ,0
솔직하게 이야기해줄게 웃겨서 웃는게아니구 어이가없어서 웃음이나온달까 영화내에서 해피엔딩 말고 누군가 한명이라도 죽었더라면 그나마 나았을것같은 영화임 ,0
심은경은 연기 그만하고 영화는 노답이였다 ,0
이소재로 이런스토리밖에 안나오나 완전실망4d로봤는데 같이본딸한테 미안했다 지루했고 긴장감도없었다 ,0
야근후 왠일로 신랑이 심야 예매해서 본건데 코골뻔 신랑 성의생각해서 졸지 않는척 힘들었네요 한편값 내고 예매한 영화지만 이걸 ㄷㆍㄴ내고 보다니 ,0
이런건한국에서만들지말자 ,0
용역은 다 돼지 철거민은 다 노숙자 말라깽이 삘 남자는 블루 여자는 핑크 인가요 먼캐스팅이나 캐릭터 자체가수준이하조연들 연기 자체가 다 오바에 어색하고승룡의 연기도오바자체임 반전은 전혀없고 긴장감도전혀 없는 2시간 내내철거민과용역의 구도 내시간돌리도 ,0
끼요욧끽 이 대사만 기억나는 영화 ,0
그만해라 진짜 짜증나게 ,0
참 재밌어요 ㅎㅎ ,0
별다섯개 파이브스타 그렇다 대한민국 국군의 최고 계급 원수 이 영화는 원수같은 영화이다 ,0
돈 내놓으십시오 ,0
잘하던거나 쭉 하지 ,0
꼬마들도 잼 앖다고 하더라 ㅎㅎㅎㅎ ,0
에휴 이건 뭐 시간과 돈이 아까운 ,0
하도 재미없다해서 진짜기대 하나도안하고갔는데더실망시키는영화는 이영화밖에없네여 ,0
여러분도 염력이 생긴다면 나이트를 가시겠지요 ,0
리얼급이다 리얼만큼 끔찍한 영화가 또 나오다니 ,0
흠 언능 보세요 나만 당할수 없다 ,0
깡패는 용역업체가 아니다 억지감동 억지동정 억지교훈 강요하는 이 영화가 깡패다 ,0
확실히 류승룡이 마지막에 날라다닐땐 빵터졌음ㅋㅋㅋ ,0
좋은 배우들 데리고 뭘한건지 설마하는 마음으로 갔는데 1점평점이 그냥 나온게 아니더라구요 ,0
고급진 카레인 줄 알고 먹어보니 3분 카레였다 ,0
페이커 갠방보다 못한 재미 ,0
중간중간 웃음포인트들이 강렬해서 웃기도 했지만 문제는 말도 안되는 부성애였다 가장의 무게로인한 불화를 극복 루미가 아버지에게 처음보였던 반응이 당연했었고 마지막이 너무 말도안되서 마냥 즐겁지만은 않았다 ,0
스토리도 염력처럼 휘발된듯 ,0
코코나 보러 가세요 ㄹㅇ ,0
진짜 돈을 세상에서 얼마나 하찮게 썻나 대결하는 대회있음 염력 한 마디로 1등 할 듯 ,0
부산행 만든 감독 아닐거야이건 꿈일거야내돈주고 이영화본것도 꿈일거야 ,0
예고편을 잘 만들었네요ㅎㅎ ,0
엥간하면 보세요 숙면에 도움이 됩니다 간만에 푹자구 나왔네요 ,0
평점 조절용 너무 높아지는거 같아서 ,0
한국형 sf의 한계를 보았다 스토리가 너무 억지스럽다 ,0
클레멘타인이 생각나네요 ,0
송중기가 영화보자고해도 같이 안보러갈 영화네요 ,0
관람객어이가없어서 웃음납니다 남친이랑 장풍쏘다 싸움 ,0
이게 얼마나 노잼이냐면 영화관 나와서 내가 영화를 봤다는 사실을 까먹음 ,0
아 정말 이영화 염려가된다 ,0
b급 영화도 아닌 그 이하지만 부산행보다 못한 느낌그냥 출발 비디오여행을 괜히 봤나보다는 생각이 드네요 ,0
이좋은 아이템을 가지고 어찌이리 뻔한 스토리 지루하다 못해 슬펏다 상당히 기대하였는데 웃음포인트 헛발질 억지감동으로 인한 식상함너무나 허술한 cg 들이 난무하며 개연성 없는 스토리 전개에 어이가 없엇다 ,0
재미없었어요 저 웬만한 영화는 재미없다고 생각안하는데 이건 ㅠㅠ ,0
나는 시사회로 봣지롱 얼른 보러 가세요 ,0
내 인생 최대의 실수 왜 평점을 안 보고 갔을까 ,0
보통 히어로영화는 능력 얻어서 한번쌈질하고 빌런이랑 거하게 한판붙고 간지한번 뿜어주면서 끝나는데 그냥 돈이 없었나 액션신이랄건 딱한번 딱히 빌런이없다보니 스토리 산으로가고 자기혼자 건물에부딪히는게 최고의 위험이네요 예고편만보고 상상하는게 더재밌을듯 ,0
리얼보다 못한영화 거긴 셜리 몸이라도 볼게있지 이건 역대 최악이다 ,0
정유미는 예뻤다 또 뭐가있었더라 ,0
영화보고 댓글쓰는거 처음이에요 정말 영화 첫시작부터 할말을 잃었습니다 다행히 제 돈내고 보는 영화가 아니라서 망정이지 ,0
공백을 제외하고 10자 이상 쓰기가 어렵네요 ,0
관람객5000원주고 봐서 다행이에요 ,0
염력 영화보고 저도 따라해봤어요 ,1
류승룡씨가 정말 웃기고 정유미씨가 악역 또한 너무 인상 깊었네요 ,1
관람객신과함께가 나아요 이건머 그냥 그냥 한국영화에요ㅜㅜ ,1
네이버는 마이너스 평점 시스템을 도입하라 ,0
하 진짜 ,0
0점도 아까운데 1점이 최소구나 ㄷㄷ ,0
모든영화를재밋게보는 편인데 이건정말 심하네요ㅎㅎ ,0
슬프다 할말이 없다 ,0
오히려 용산참사에 대한 풍자는 제임스카메론의 아바타 가 더 가까워보임 ,0
관람객우와 간만에 똥망이다 ㅋㅋㅋㅋ 역시 그냥 한국영화임 ,0
성냥팔이 소녀의 재림을 능가할 것인가 ,0
영화의 완성도가 아닌 마케팅에 올인한 영화 ,0
ㅠㅠ 남편이랑 영화보고나오니 주변 웅성웅성 반응은 초딩은 재밌어하겠다 고 하고 내신랑은 우뢰매냐 하고 첫개봉한날 염력 보자고 간신히 모셔온 남편 난 눈치보고 나도 유치하고 루즈하긴 했음 ,0
실제로 그러는지모르겠지만 전투경찰관들 방패치며 행진할때 넘유치해서 소름돋았다 ,0
다큐멘터리랑 동물의 왕국이 꿀잼인거였네 ,0
포인트로 결제를 해서 보았으마 포인트마저 아까운 영화 첫날 보려고 예매하고 갔으나 2시간 버림 도대체 왜 만들었는지 모를영화 ,0
1점을 선택해야 누를 수 있기 때문에 ㅡㅡ ,0
베뎃 보고 빵터졌다 나랑 똑같은 생각을 하면서 영화를 봤구나 확실히 불면증치료에 굉장히 도움 됩니다 남한산성을 능가할 줄이야 ㅋㅋㅋ지루한 영화 좋아하시는분 강추함 ,0
줄거리가 머냐 최악이다 ,0
그냥 재미없음 돈아까움 시간아까움 헛웃음 피식 정유미 하드캐리 ,0
배우들 연기력으로 잘봤어여ㅋㅋ ,1
클레멘타인 이후 내 인생 최고의 영화 ,0
적절한 출구를 찾지 못했으나 시도만큼은 의미 있다 ,1
정유미만 이뻤다 ㅋㅋ 심은경연기는 후퇴 ,1
와 대박 대박이에요 ,1
